Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Minute
Tuesday,Over 51,Male,High school,2-5yr,Lorry (41?100Q),Owner,5-10yrs, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Unknown,Slight Injury,18,30
Monday,Under 18,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,15,25
Sunday,18-30,Male,Above high school,Above 10yr,Automobile,Owner,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,2,Going straight,Pedestrian,Female,Under 18,2,Not a Pedestrian,No distancing,Slight Injury,22,20
Sunday,Unknown,Male,Junior high school,2-5yr,Automobile,Organization,5-10yrs, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,2,Going straight,na,na,na,na,Not a Pedestrian,Other,Slight Injury,22,20
Sunday,18-30,Male,Junior high school,2-5yr,Public (13?45 seats),Organization,2-5yrs,Other,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,22,20
Sunday,Unknown,Male,High school,1-2yr,Public (13?45 seats),Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,22,20
Monday,Under 18,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,Unknown, Church areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,8,10
Monday,18-30,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,5-10yrs, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Other,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,2,Other,Driver or rider,Male,Under 18,3,Not a Pedestrian,Overtaking,Slight Injury,8,10
Monday,18-30,Male,Junior high school,Below 1yr,Public (12 seats),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,8,10
Thursday,31-50,Male,Elementary school,,Other,Owner,Unknown,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,16,40
Thursday,Unknown,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,18-30,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,7,20
Thursday,Over 51,Male,Junior high school,1-2yr,Automobile,Owner,Unknown, Church areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,7,20
Saturday,18-30,Male,Elementary school,2-5yr,Other,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,Under 18,3,Not a Pedestrian,Driving carelessly,Slight Injury,9,15
Saturday,Over 51,Male,High school,1-2yr,Motorcycle,Owner,Unknown,Other,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,9,15
Thursday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,2-5yrs,Other,other,Tangent road with flat terrain,No junction,Other,Dry,Daylight,Normal,Collision with pedestrians,3,2,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Changing lane to the right,Slight Injury,17,55
Thursday,31-50,Male,Junior high school,Below 1yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,2,Reversing,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,17,55
Thursday,Over 51,Male,High school,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,2,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Overturning,Slight Injury,17,55
Sunday,18-30,Male,Elementary school,5-10yr,Automobile,Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Collision with pedestrians,2,2,Other,Passenger,Female,Over 51,3,Not a Pedestrian,Driving carelessly,Slight Injury,20,10
Sunday,31-50,Male,Elementary school,Below 1yr,Public (> 45 seats),Governmental,2-5yrs,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,2,Other,Driver or rider,Male,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,20,10
Thursday,Unknown,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,2-5yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,5,Other,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,15,30
Thursday,31-50,Male,Elementary school,5-10yr,Public (> 45 seats),Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,5,Stopping,Driver or rider,Female,18-30,2,Not a Pedestrian,Changing lane to the left,Slight Injury,15,30
Thursday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,2-5yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,5,Other,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,15,30
Thursday,31-50,Male,Junior high school,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Other,Dry,Daylight,Normal,Collision with roadside objects,2,5,Other,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,15,30
Thursday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,1-2yr, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,5,Other,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,15,30
Thursday,31-50,Male,High school,1-2yr,Public (12 seats),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,5,Going straight,Pedestrian,Female,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,15,30
Sunday,Over 51,Male,Elementary school,5-10yr,Public (12 seats),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,13,30
Sunday,31-50,Male,Elementary school,2-5yr,Stationwagen,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,13,30
Thursday,Unknown,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,20,15
Thursday,18-30,Male,Junior high school,Below 1yr,Automobile,Owner,Unknown, Church areas,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,20,15
Friday,31-50,Male,Junior high school,5-10yr,Pick up upto 10Q,Owner,Unknown,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,16,0
Friday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,2-5yrs,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,16,0
Tuesday,18-30,Male,Elementary school,1-2yr,Public (13?45 seats),,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,,Dry,Daylight,Cloudy,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,9,50
Tuesday,18-30,Male,Junior high school,,Public (> 45 seats),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Cloudy,Collision with roadside objects,1,2,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,9,50
Friday,18-30,Male,Elementary school,Above 10yr,Stationwagen,Governmental,5-10yrs, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Collision with roadside objects,1,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Serious Injury,8,20
Tuesday,31-50,Male,Junior high school,1-2yr,,Owner,2-5yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Collision with pedestrians,2,5,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,21,35
Tuesday,31-50,Male,,,Lorry (41?100Q),Owner,Unknown,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,5,Reversing,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,21,35
Tuesday,31-50,Male,Junior high school,Above 10yr,Stationwagen,Owner,2-5yrs,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,5,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,Other,Slight Injury,21,35
Tuesday,18-30,Male,Elementary school,2-5yr,Lorry (41?100Q),Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads with some distress,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,5,Other,Passenger,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,21,35
Tuesday,18-30,Male,Junior high school,5-10yr,Public (12 seats),Governmental,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,5,,Passenger,Female,Under 18,3,Not a Pedestrian,Changing lane to the right,Slight Injury,21,35
Wednesday,31-50,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Passenger,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,13,10
Wednesday,31-50,Male,Junior high school,5-10yr,Other,Owner,5-10yrs, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,No distancing,Slight Injury,13,10
Thursday,31-50,Male,High school,Above 10yr,Stationwagen,Owner,2-5yrs,Other,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Overturning,Slight Injury,15,10
Tuesday,Unknown,Male,Junior high school,5-10yr,Automobile,Owner,1-2yr,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving at high speed,Serious Injury,19,30
Tuesday,31-50,Male,Elementary school,1-2yr,Public (> 45 seats),Organization,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Serious Injury,19,30
Wednesday,Unknown,Male,Junior high school,,Other,Governmental,1-2yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Turnover,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,17,45
Wednesday,31-50,Male,Elementary school,1-2yr,Lorry (41?100Q),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Entering a junction,Pedestrian,Female,Over 51,2,Not a Pedestrian,No priority to vehicle,Slight Injury,17,45
Friday,18-30,Male,Junior high school,1-2yr,Automobile,Owner,2-5yrs,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Entering a junction,Driver or rider,Male,18-30,3,Not a Pedestrian,Other,Slight Injury,15,55
Monday,18-30,Male,Above high school,1-2yr,Public (> 45 seats),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Entering a junction,na,na,na,na,Not a Pedestrian,Other,Slight Injury,7,40
Monday,18-30,Male,Junior high school,5-10yr,,Governmental,1-2yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Entering a junction,Driver or rider,Male,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,7,40
Thursday,18-30,Male,Junior high school,5-10yr,Automobile,,,,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,14,30
Thursday,Over 51,Male,Elementary school,5-10yr,Pick up upto 10Q,Organization,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Entering a junction,Driver or rider,Male,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,14,30
Saturday,31-50,Male,High school,Below 1yr,Public (12 seats),Owner,Above 10yr,Other,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Passenger,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,18,10
Saturday,18-30,Male,Junior high school,Above 10yr,Lorry (41?100Q),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,18,10
Sunday,Under 18,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,Unknown,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Entering a junction,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,20,30
